x	y	compositions	richness	plots	color
-36,96378041	-5,539614374	15	1	1	white
-36,96353007	-5,539601895	8	1	2	white
-36,96355301	-5,539488964	14	4	3	yellow
-36,96378072	-5,539523967	32	16	4	green
-36,96391637	-5,539434025	31	8	5	blue
-36,96378103	-5,539433559	13	2	6	red
-36,96355332	-5,539398557	2	1	7	white
-36,96355363	-5,53930815	29	2	8	red
-36,96380397	-5,539320628	1	0	9	orange
-36,96391668	-5,539343618	2	1	10	white
-36,96402957	-5,539313574	11	1	11	white
-36,96405252	-5,539200643	27	2	12	red
-36,96391699	-5,53925321	46	2	13	red
-36,96355394	-5,539217742	32	16	14	green
-36,96344108	-5,539239956	10	4	15	yellow
-36,96341891	-5,53912687	31	8	16	blue
-36,96355425	-5,539127335	4	1	17	white
-36,96368966	-5,539108634	12	2	18	red
-36,9639173	-5,539162803	32	16	19	green
-36,96405283	-5,539110236	4	1	20	white
-36,96405314	-5,539019829	20	1	21	white
-36,96391761	-5,539072396	9	8	22	blue
-36,96355456	-5,539036928	22	1	23	white
-36,96355487	-5,538946521	13	2	24	red
-36,96369022	-5,538946986	32	16	25	green
-36,96369053	-5,538856579	28	1	26	white
-36,96355518	-5,538856114	38	4	27	yellow
-36,96341984	-5,538855648	9	8	28	blue
-36,96330744	-5,538742252	32	16	29	green
-36,96342015	-5,538765241	37	1	30	white
-36,96355549	-5,538765707	5	1	31	white
-36,96369083	-5,538766172	14	4	32	yellow
-36,96382618	-5,538766637	44	2	33	red
-36,96396138	-5,538808084	39	2	34	red
-36,96409686	-5,538767568	1	0	35	orange
-36,96409717	-5,538677161	6	2	36	red
-36,96396169	-5,538717677	42	2	37	red
-36,96382649	-5,53867623	45	1	38	white
-36,96369114	-5,538675765	32	16	39	green
-36,9635558	-5,5386753	30	4	40	yellow
-36,96342046	-5,538674834	40	1	41	white
-36,9633079	-5,538606641	42	2	42	red
-36,96342077	-5,538584427	12	2	43	red
-36,96355611	-5,538584892	15	1	44	white
-36,96369145	-5,538585358	23	2	45	red
-36,9638268	-5,538585823	36	8	46	blue
-36,96396214	-5,538586288	4	1	47	white
-36,96409748	-5,538586754	19	4	48	yellow
-36,96423314	-5,538496812	26	8	49	blue
-36,96409779	-5,538496347	32	16	50	green
-36,96396245	-5,538495881	17	2	51	red
-36,96382711	-5,538495416	22	1	52	white
-36,96369176	-5,538494951	7	2	53	red
-36,96355642	-5,538494485	34	4	54	yellow
-36,96342108	-5,53849402	46	2	55	red
-36,96328573	-5,538493554	33	1	56	white
-36,96317334	-5,538380158	41	2	57	red
-36,96328604	-5,538403147	1	0	58	orange
-36,96342139	-5,538403613	36	8	59	blue
-36,96355673	-5,538404078	45	1	60	white
-36,96369207	-5,538404543	41	2	61	red
-36,96382742	-5,538405009	2	1	62	white
-36,96396276	-5,538405009	1	0	63	orange
-36,9640981	-5,538405939	35	2	64	red
-36,96423345	-5,538406405	11	1	65	white
-36,96423376	-5,538315997	33	1	66	white
-36,96409841	-5,538315532	38	4	67	yellow
-36,96396307	-5,538315067	10	4	68	yellow
-36,96382773	-5,538314602	18	1	69	white
-36,96369238	-5,538314602	1	0	70	orange
-36,96355704	-5,538313671	32	16	71	green
-36,9634217	-5,538313205	35	2	72	red
-36,96328635	-5,53831274	29	2	73	red
-36,9631738	-5,538244547	21	2	74	red
-36,96342201	-5,538222798	19	4	75	yellow
-36,96355735	-5,538223264	30	4	76	yellow
-36,96369269	-5,538223729	20	1	77	white
-36,96382804	-5,538224194	29	2	78	red
-36,96396338	-5,53822466	31	8	79	blue
-36,96409872	-5,538225125	30	4	80	yellow
-36,96423407	-5,53822559	3	4	81	yellow
-36,96436941	-5,538226055	18	1	82	white
-36,96450475	-5,538226521	24	1	83	white
-36,96491109	-5,538137509	1	0	84	orange
-36,96477575	-5,538137044	26	8	85	blue
-36,9646404	-5,538136578	38	4	86	yellow
-36,96450506	-5,538136113	13	2	87	red
-36,96436972	-5,538135648	7	2	88	red
-36,96423437	-5,538135183	17	2	89	red
-36,96409903	-5,538134718	22	1	90	white
-36,96396369	-5,538134253	16	2	91	red
-36,96382835	-5,538133787	42	2	92	red
-36,963693	-5,538133322	40	1	93	white
-36,96339984	-5,538109712	3	4	94	yellow
-36,96320271	-5,538131636	32	16	95	green
-36,96317457	-5,538018529	27	2	96	red
-36,96328728	-5,538041519	25	4	97	yellow
-36,96369331	-5,538042915	33	1	98	white
-36,96382865	-5,53804338	43	1	99	white
-36,96409934	-5,538044311	28	1	100	white
-36,96423468	-5,538044776	8	1	101	white
-36,96448289	-5,538023027	11	1	102	white
-36,96466335	-5,538023647	15	1	103	white
-36,96477606	-5,538046636	20	1	104	white
-36,9649114	-5,538047101	5	1	105	white
-36,96504674	-5,538047566	40	1	106	white
-36,96502457	-5,53793448	35	2	107	red
-36,96491171	-5,537956694	32	16	108	green
-36,96477637	-5,537956229	21	2	109	red
-36,96437034	-5,537954834	6	2	110	red
-36,96423499	-5,537954369	12	2	111	red
-36,96396431	-5,537953438	32	16	112	green
-36,96382896	-5,537952973	23	2	113	red
